,name,ranting,price,description,specification,delivery
0,Palermo Oyster Cushion - 50x50cm,no ranting,£49.50,"Crafted using a luxurious marl fabric, this soft-to-the-touch cushion is paired with a neutral linen back and pipe and is available in a multitude of colours to match any home décor. Filled with our plush duck feather inner and manufactured in the UK, our Palermo Oyster cushion provides superior comfort, quality, and style.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Plain
Print: Palermo
Material: Woven
Composition: 100% POLYESTER
Size: 50x50cm
Aftercare: Dry Clean Only
Filling: Duck Feather
Trim: Piped Edge","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
1,Palermo Canyon Cushion - 50x50cm,no ranting,£49.50,"Crafted using a luxurious marl fabric, this soft-to-the-touch cushion is paired with a neutral linen back and pipe and is available in a multitude of colours to match any home décor. Filled with our plush duck feather inner and manufactured in the UK, our Palermo Canyon cushion provides superior comfort, quality, and style.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Plain
Print: Palermo
Material: Woven
Composition: 100% POLYESTER
Size: 50x50cm
Aftercare: Dry Clean Only
Filling: Duck Feather
Trim: Piped Edge","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
2,Palermo Seamist Cushion - 50x50cm,no ranting,£49.50,"Crafted using a luxurious marl fabric, this soft-to-the-touch cushion is paired with a neutral linen back and pipe and is available in a multitude of colours to match any home décor. Filled with our plush duck feather inner and manufactured in the UK, our Palermo Seamist cushion provides superior comfort, quality, and style.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Plain
Print: Palermo
Material: Woven
Composition: 100% POLYESTER
Size: 50x50cm
Aftercare: Dry Clean Only
Filling: Duck Feather
Trim: Piped Edge","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
3,Palermo Teal Cushion - 50x50cm,no ranting,£49.50,"Crafted using a luxurious marl fabric, this soft-to-the-touch cushion is paired with a neutral linen back and pipe and is available in a multitude of colours to match any home décor. Filled with our plush duck feather inner and manufactured in the UK, our Palermo Teal cushion provides superior comfort, quality, and style.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Plain
Print: Palermo
Material: Woven
Composition: 100% POLYESTER
Size: 50x50cm
Aftercare: Dry Clean Only
Filling: Duck Feather
Trim: Piped Edge","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
4,Erskine Rust Cream Printed Cushion - 50x40cm,no ranting,£32.50,"Featuring a stunning floral watercolour study, our Erskine Rust cushion is ideal for adding a touch of elegance to any room. Designed and crafted in the UK, this luxury cushion features a luxurious woven back and a complimentary piped trim. Made from high-quality materials and filled with our plush duck feather inner, the Erskine provides superior comfort and style.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Country
Print: Erskine
Main Colour: Orange
Material: Cotton
Composition: 95% Cotton, 5% Linen
Size: 50x40cm
Aftercare: Dry Clean Only
Filling: British Wool
Trim: Piped Trim","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
5,Firth Mauve Printed Cushion - 46x46cm,no ranting,£32.50,"Featuring a stunning thistle watercolour study, our Firth Mauve cushion is ideal for adding a touch of country to any room. Printed in-house and crafted in the UK, this luxury cushion features a suede denim back and a complimentary oxford edge. Made from high-quality materials and filled with our plush British reclaimed wool inner, the Firth provides superior comfort and style.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Country
Print: Firth
Main Colour: Pink
Material: Cotton
Composition: 95% Cotton, 5% Linen
Size: 46x46cm
Aftercare: Dry Clean Only
Filling: British Wool
Trim: Oxford Edge","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
6,Moray Rust Slate Jacquard Woven cushion - 60x40cm,no ranting,£35.50,"Featuring a stunning floral weave, our Moray Rust cushion is ideal for adding a touch of elegance to any room. Designed and crafted in the UK, this luxury cushion features a sumptuous velvet back, and a complimentary velvet piped trim. Made from high-quality materials and filled with our plush duck feather inner, the Moray provides superior comfort and style.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Country
Print: Moray
Main Colour: Orange
Material: Cotton
Composition: 95% Cotton, 5% Linen
Size: 60x40cm
Aftercare: Dry Clean Only
Filling: British Wool
Trim: Piped Trim","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
7,Firth Rust Printed Cushion - 46x46cm,no ranting,£32.50,"Featuring a stunning thistle watercolour study, our Firth Rust cushion is ideal for adding a touch of country to any room. Printed in-house and crafted in the UK, this luxury cushion features a suede denim back and a complimentary oxford edge. Made from high-quality materials and filled with our plush British reclaimed wool inner, the Firth provides superior comfort and style.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Country
Print: Firth
Main Colour: Orange
Material: Cotton
Composition: 95% Cotton, 5% Linen
Size: 46x46cm
Aftercare: Dry Clean Only
Filling: British Wool
Trim: Oxford Edge","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
8,Moray Hollyhock Black Jacquard Woven Cushion - 60x40cm,no ranting,£35.50,"Featuring a stunning floral weave, our Moray Hollyhock cushion is ideal for adding a touch of elegance to any room. Designed and crafted in the UK, this luxury cushion features a sumptuous velvet back, and a complimentary velvet piped trim. Made from high-quality materials and filled with our plush duck feather inner, the Moray provides superior comfort and style.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Country
Print: Moray
Main Colour: Pink
Material: Cotton
Composition: 95% Cotton, 5% Linen
Size: 60x40cm
Aftercare: Dry Clean Only
Filling: British Wool
Trim: Piped Trim","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
9,Firth Slate Printed Cushion - 46x46cm,no ranting,£32.50,"Featuring a stunning thistle watercolour study, our Firth Slate cushion is ideal for adding a touch of country to any room. Printed in-house and crafted in the UK, this luxury cushion features a suede denim back and a complimentary oxford edge. Made from high-quality materials and filled with our plush British reclaimed wool inner, the Firth provides superior comfort and style.
Disclaimer: Product images are shown for illustration purposes only and may vary slightly due to product enhancement and the screen settings of the device being used.","Design Style: Country
Print: Firth
Main Colour: Grey
Material: Cotton
Composition: 95% Cotton, 5% Linen
Size: 46x46cm
Aftercare: Dry Clean Only
Filling: British Wool
Trim: Oxford Edge","All delivery costs are calculated based on the type of items in your order, where you live, and confirmed at the checkout. More details here.
UK Delivery
Delivery costs start from £6.95, with delivery taking 3 to 7 working days for in-stock items. For more information on delivery prices for our range of products visit our Delivery Policy page.
Lead Times
Lead times on our products vary by product type. We have a wide range of products in stock, but we also have a range of products that are print or made to order and delivery times will vary for these - more details.
Returns
If you’re not 100% happy with your purchase, you can return it to us in its original condition and original packaging with a completed returns form within 14 days for a full refund, provided it is in original, unused, saleable condition and repacked in the original packaging.
You are responsible for the cost of returning your item(s) to us, unless you received a faulty, damaged or wrongly dispatched item. To return an item, please follow the returns instructions here.
If you have any other questions about Deliveries or Returns, please give us a call on 0141 641 1700 or email us at voyageshop@voyfab.co.uk."
